harm,run_combination,run_count,llm_pair_diversity,relevance_mean,coverage_score,global_dimensions,global_unique_dimensions,relevant_unique_dimensions,raw_coverage_score,source_metrics,unique_taxonomy_metrics
anthropomorphic_behaviors,runs-1-to-3,3,0.962722,3.68,69,25,22,22,69,anthropomorphic_behaviors/runs-1-to-3/metrics.json,anthropomorphic_behaviors/runs-1-to-9/metrics.json
anthropomorphic_behaviors,runs-1-to-5,5,0.968712,3.755556,84,45,36,36,84,anthropomorphic_behaviors/runs-1-to-5/metrics.json,anthropomorphic_behaviors/runs-1-to-9/metrics.json
anthropomorphic_behaviors,runs-1-to-7,7,0.976979,3.734375,91,64,51,50,91,anthropomorphic_behaviors/runs-1-to-7/metrics.json,anthropomorphic_behaviors/runs-1-to-9/metrics.json
anthropomorphic_behaviors,runs-1-to-9,9,0.971678,3.686747,91,83,59,58,87,anthropomorphic_behaviors/runs-1-to-9/metrics.json,anthropomorphic_behaviors/runs-1-to-9/metrics.json
child_safety,runs-1-to-3,3,0.944239,3.931034,80,29,17,17,80,child_safety/runs-1-to-3/metrics.json,child_safety/runs-1-to-8/metrics.json
child_safety,runs-1-to-5,5,0.949125,3.897959,89,49,29,29,89,child_safety/runs-1-to-5/metrics.json,child_safety/runs-1-to-8/metrics.json
child_safety,runs-1-to-7,7,0.952368,3.716418,92,67,32,32,92,child_safety/runs-1-to-7/metrics.json,child_safety/runs-1-to-8/metrics.json
child_safety,runs-1-to-8,8,0.955965,3.922078,92,77,39,39,86,child_safety/runs-1-to-8/metrics.json,child_safety/runs-1-to-8/metrics.json
hate_speech_harassment,runs-1-to-3,3,0.968706,3.961538,88,26,20,20,88,hate_speech_harassment/runs-1-to-3/metrics.json,hate_speech_harassment/runs-1-to-8/metrics.json
hate_speech_harassment,runs-1-to-5,5,0.945293,3.723404,91,47,31,31,91,hate_speech_harassment/runs-1-to-5/metrics.json,hate_speech_harassment/runs-1-to-8/metrics.json
hate_speech_harassment,runs-1-to-7,7,0.950269,3.73913,93,69,38,38,93,hate_speech_harassment/runs-1-to-7/metrics.json,hate_speech_harassment/runs-1-to-8/metrics.json
hate_speech_harassment,runs-1-to-8,8,0.956217,3.7125,94,80,44,44,94,hate_speech_harassment/runs-1-to-8/metrics.json,hate_speech_harassment/runs-1-to-8/metrics.json
