harm,left_run,right_run,left_name,right_name,comparison_scope,embedding_similarity,embedding_distance,llm_similarity,llm_distance,combined_similarity,combined_distance,llm_redundant,llm_rationale,exact_name_match,exact_dimension_match,deduplication_match,deduplication_reasons
sexual_content,run-1,run-1,request_purpose,sexual_explicitness,within_run,0.660967,0.339033,0.0,1.0,0.330483,0.669517,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
sexual_content,run-1,run-1,request_purpose,consent_and_capacity,within_run,0.54813,0.45187,0.0,1.0,0.274065,0.725935,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
sexual_content,run-1,run-1,request_purpose,depicted_person_status,within_run,0.583307,0.416693,0.0,1.0,0.291654,0.708346,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
sexual_content,run-1,run-1,request_purpose,user_role,within_run,0.680251,0.319749,0.142857,0.857143,0.411554,0.588446,False,LLM coordinated semantic labels; shared tags: survivor-support.,False,False,False,
sexual_content,run-1,run-1,request_purpose,interaction_context,within_run,0.678368,0.321632,0.0,1.0,0.339184,0.660816,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
sexual_content,run-1,run-1,request_purpose,disclosure_and_safety_stage,within_run,0.589131,0.410869,0.142857,0.857143,0.365994,0.634006,False,LLM coordinated semantic labels; shared tags: survivor-support.,False,False,False,
sexual_content,run-1,run-1,request_purpose,interaction_pressure,within_run,0.559343,0.440657,0.0,1.0,0.279672,0.720328,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
sexual_content,run-1,run-1,request_purpose,support_need,within_run,0.593122,0.406878,0.142857,0.857143,0.36799,0.63201,False,LLM coordinated semantic labels; shared tags: survivor-support.,False,False,False,
sexual_content,run-1,run-2,request_purpose,task_operation,across_run,0.5992,0.4008,0.4,0.6,0.4996,0.5004,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
sexual_content,run-1,run-2,request_purpose,content_intensity,across_run,0.673109,0.326891,0.0,1.0,0.336554,0.663446,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
sexual_content,run-1,run-2,request_purpose,consent_signal,across_run,0.55852,0.44148,0.0,1.0,0.27926,0.72074,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
