harm,left_run,right_run,left_name,right_name,comparison_scope,embedding_similarity,embedding_distance,llm_similarity,llm_distance,combined_similarity,combined_distance,llm_redundant,llm_rationale,exact_name_match,exact_dimension_match,deduplication_match,deduplication_reasons
violent_content,run-1,run-1,violence_severity,graphicness,within_run,0.56792,0.43208,0.0,1.0,0.28396,0.71604,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-1,violence_severity,target_scope,within_run,0.533163,0.466837,0.0,1.0,0.266582,0.733418,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-1,violence_severity,threat_specificity,within_run,0.483267,0.516733,0.0,1.0,0.241634,0.758366,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-1,violence_severity,imminence_signal,within_run,0.520097,0.479903,0.0,1.0,0.260049,0.739951,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-1,violence_severity,user_proximity,within_run,0.621136,0.378864,0.0,1.0,0.310568,0.689432,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-1,violence_severity,communicative_function,within_run,0.512029,0.487971,0.0,1.0,0.256014,0.743986,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-1,violence_severity,adversarial_pressure,within_run,0.467794,0.532206,0.0,1.0,0.233897,0.766103,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-2,violence_severity,request_legitimacy,across_run,0.515621,0.484379,0.0,1.0,0.25781,0.74219,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-2,violence_severity,knowledge_uplift,across_run,0.450718,0.549282,0.0,1.0,0.225359,0.774641,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-2,violence_severity,claimed_purpose,across_run,0.459624,0.540376,0.0,1.0,0.229812,0.770188,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-2,violence_severity,linguistic_directness,across_run,0.417149,0.582851,0.0,1.0,0.208574,0.791426,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-2,violence_severity,dialogue_pressure,across_run,0.426995,0.573005,0.0,1.0,0.213498,0.786502,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-2,violence_severity,violence_presentation,across_run,0.664169,0.335831,0.0,1.0,0.332085,0.667915,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-2,violence_severity,affected_entity,across_run,0.481563,0.518437,0.0,1.0,0.240782,0.759218,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-2,violence_severity,temporal_status,across_run,0.593502,0.406498,0.0,1.0,0.296751,0.703249,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-2,violence_severity,audience_age,across_run,0.504918,0.495082,0.0,1.0,0.252459,0.747541,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-3,violence_severity,participant_role,across_run,0.593992,0.406008,0.0,1.0,0.296996,0.703004,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-3,violence_severity,help_seeking_stance,across_run,0.524283,0.475717,0.0,1.0,0.262142,0.737858,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-3,violence_severity,trajectory_stage,across_run,0.66587,0.33413,0.0,1.0,0.332935,0.667065,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-3,violence_severity,threat_information_quality,across_run,0.546998,0.453002,0.0,1.0,0.273499,0.726501,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-3,violence_severity,violence_scale,across_run,0.71523,0.28477,0.0,1.0,0.357615,0.642385,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-3,violence_severity,response_need,across_run,0.539116,0.460884,0.0,1.0,0.269558,0.730442,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-3,violence_severity,endorsement_pressure,across_run,0.526517,0.473483,0.0,1.0,0.263259,0.736741,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-3,violence_severity,depiction_intensity,across_run,0.610711,0.389289,0.0,1.0,0.305356,0.694644,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-3,violence_severity,boundary_challenge,across_run,0.497012,0.502988,0.0,1.0,0.248506,0.751494,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-3,violence_severity,age_context,across_run,0.551237,0.448763,0.0,1.0,0.275618,0.724382,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-4,violence_severity,user_role,across_run,0.57766,0.42234,0.0,1.0,0.28883,0.71117,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-4,violence_severity,urgency_imminence,across_run,0.52304,0.47696,0.0,1.0,0.26152,0.73848,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-4,violence_severity,violence_setting_type,across_run,0.633636,0.366364,0.0,1.0,0.316818,0.683182,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-4,violence_severity,social_ecological_level,across_run,0.528807,0.471193,0.0,1.0,0.264404,0.735596,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-4,violence_severity,support_availability,across_run,0.475349,0.524651,0.0,1.0,0.237675,0.762325,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-4,violence_severity,help_seeking_goal,across_run,0.547759,0.452241,0.0,1.0,0.273879,0.726121,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-4,violence_severity,trajectory_stage,across_run,0.574757,0.425243,0.0,1.0,0.287378,0.712622,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-4,violence_severity,vulnerable_party,across_run,0.527747,0.472253,0.0,1.0,0.263873,0.736127,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-4,violence_severity,reporting_stance,across_run,0.427612,0.572388,0.0,1.0,0.213806,0.786194,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-4,violence_severity,requested_assistant_action,across_run,0.516862,0.483138,0.0,1.0,0.258431,0.741569,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-4,violence_severity,safe_disengagement_feasibility,across_run,0.556851,0.443149,0.0,1.0,0.278425,0.721575,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-5,violence_severity,case_safety_class,across_run,0.646367,0.353633,0.0,1.0,0.323184,0.676816,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-5,violence_severity,harmful_goal_explicitness,across_run,0.527685,0.472315,0.0,1.0,0.263842,0.736158,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
violent_content,run-1,run-5,violence_severity,adversarial_framing_family,across_run,0.485511,0.514489,0.0,1.0,0.242756,0.757244,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
