harm,left_run,right_run,left_name,right_name,comparison_scope,embedding_similarity,embedding_distance,llm_similarity,llm_distance,combined_similarity,combined_distance,llm_redundant,llm_rationale,exact_name_match,exact_dimension_match,deduplication_match,deduplication_reasons
child_safety,run-1,run-1,developmental_stage,user_role,within_run,0.601433,0.398567,0.0,1.0,0.300716,0.699284,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-1,developmental_stage,harm_presentation,within_run,0.549258,0.450742,0.0,1.0,0.274629,0.725371,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-1,developmental_stage,relationship_to_risk_source,within_run,0.534745,0.465255,0.0,1.0,0.267373,0.732627,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-1,developmental_stage,disclosure_stage,within_run,0.645253,0.354747,0.0,1.0,0.322626,0.677374,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-1,developmental_stage,disclosure_barrier,within_run,0.524525,0.475475,0.0,1.0,0.262263,0.737737,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-1,developmental_stage,safety_urgency,within_run,0.506262,0.493738,0.0,1.0,0.253131,0.746869,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-1,developmental_stage,interaction_pressure,within_run,0.496406,0.503594,0.0,1.0,0.248203,0.751797,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-2,developmental_stage,developmental_maturity,across_run,0.883362,0.116638,1.0,0.0,0.941681,0.058319,True,LLM assigned both dimensions to duplicate group 'DG-developmental-capacity'.,False,False,True,LLM judged substantially interchangeable
child_safety,run-1,run-2,developmental_stage,speaker_perspective,across_run,0.619122,0.380878,0.0,1.0,0.309561,0.690439,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-2,developmental_stage,digital_risk_pathway,across_run,0.532757,0.467243,0.0,1.0,0.266379,0.733621,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-2,developmental_stage,contact_identity,across_run,0.543316,0.456684,0.0,1.0,0.271658,0.728342,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-2,developmental_stage,coercion_state,across_run,0.489553,0.510447,0.0,1.0,0.244777,0.755223,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-2,developmental_stage,environment_transition,across_run,0.465621,0.534379,0.0,1.0,0.232811,0.767189,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-2,developmental_stage,help_seeking_phase,across_run,0.564993,0.435007,0.0,1.0,0.282496,0.717504,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-2,developmental_stage,present_danger,across_run,0.515386,0.484614,0.0,1.0,0.257693,0.742307,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-2,developmental_stage,privacy_manipulation_pressure,across_run,0.532985,0.467015,0.0,1.0,0.266493,0.733507,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-2,developmental_stage,communication_access_need,across_run,0.64211,0.35789,0.4,0.6,0.521055,0.478945,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-3,developmental_stage,developmental_stage,across_run,0.860956,0.139044,1.0,0.0,0.930478,0.069522,True,LLM assigned both dimensions to duplicate group 'DG-developmental-capacity'.,True,False,True,exact normalized name; LLM judged substantially interchangeable
child_safety,run-1,run-3,developmental_stage,speaker_role,across_run,0.610689,0.389311,0.0,1.0,0.305345,0.694655,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-3,developmental_stage,safeguarding_phase,across_run,0.595692,0.404308,0.0,1.0,0.297846,0.702154,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-3,developmental_stage,signal_clarity,across_run,0.553607,0.446393,0.0,1.0,0.276803,0.723197,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
child_safety,run-1,run-3,developmental_stage,child_agency_stance,across_run,0.650947,0.349053,0.0,1.0,0.325474,0.674526,False,LLM coordinated semantic labels; shared tags: none.,False,False,False,
